query,accuracy,precision,recall,f1, r1, r2, r3, r4, r5, r6
./ResampledDatabase/AircraftBuoyant\m1347.obj,0.990928,0,0,0,./ResampledDatabase/Quadruped/m100.obj,./ResampledDatabase/Bottle/D00940.obj,./ResampledDatabase/Hand/m329.obj,./ResampledDatabase/Bird/m51.obj,./ResampledDatabase/Hand/D01097.obj,./ResampledDatabase/AquaticAnimal/m62.obj
./ResampledDatabase/AircraftBuoyant\m1348.obj,0.991753,0.166667,0.0625,0.0909091,./ResampledDatabase/AircraftBuoyant/m1346.obj,./ResampledDatabase/Humanoid/m161.obj,./ResampledDatabase/Car/D00785.obj,./ResampledDatabase/Humanoid/m167.obj,./ResampledDatabase/Cup/D00328.obj,./ResampledDatabase/Hand/D01193.obj
./ResampledDatabase/AircraftBuoyant\m1349.obj,0.990928,0,0,0,./ResampledDatabase/Quadruped/m104.obj,./ResampledDatabase/Cup/D00642.obj,./ResampledDatabase/Quadruped/D00934.obj,./ResampledDatabase/Humanoid/m184.obj,./ResampledDatabase/Car/D00168.obj,./ResampledDatabase/Humanoid/m118.obj
./ResampledDatabase/AircraftBuoyant\m1350.obj,0.990928,0,0,0,./ResampledDatabase/Bird/m51.obj,./ResampledDatabase/Bottle/D00892.obj,./ResampledDatabase/Cellphone/D00369.obj,./ResampledDatabase/Fish/D00293.obj,./ResampledDatabase/Bottle/m488.obj,./ResampledDatabase/Skyscraper/D00729.obj
./ResampledDatabase/AircraftBuoyant\m1351.obj,0.990928,0,0,0,./ResampledDatabase/Door/D01005.obj,./ResampledDatabase/Humanoid/m256.obj,./ResampledDatabase/Door/m1713.obj,./ResampledDatabase/FloorLamp/D00875.obj,./ResampledDatabase/Quadruped/D00509.obj,./ResampledDatabase/Jet/m1220.obj
./ResampledDatabase/AircraftBuoyant\m1352.obj,0.990928,0,0,0,./ResampledDatabase/Rocket/D00354.obj,./ResampledDatabase/Car/m1522.obj,./ResampledDatabase/Quadruped/D00757.obj,./ResampledDatabase/Wheel/m742.obj,./ResampledDatabase/Quadruped/D00326.obj,./ResampledDatabase/Hand/m327.obj
./ResampledDatabase/Apartment\D00045.obj,0.988454,0,0,0,./ResampledDatabase/MultiSeat/D00046.obj,./ResampledDatabase/Computer/m1764.obj,./ResampledDatabase/MultiSeat/m778.obj,./ResampledDatabase/City/D01092.obj,./ResampledDatabase/MultiSeat/m780.obj,./ResampledDatabase/Chess/m1593.obj
./ResampledDatabase/Apartment\D00086.obj,0.988454,0,0,0,./ResampledDatabase/PlantIndoors/m989.obj,./ResampledDatabase/Tool/m588.obj,./ResampledDatabase/Tool/m589.obj,./ResampledDatabase/Guitar/D00844.obj,./ResampledDatabase/Tree/m1095.obj,./ResampledDatabase/Cup/m495.obj
./ResampledDatabase/Apartment\D00138.obj,0.988454,0,0,0,./ResampledDatabase/DeskPhone/D00829.obj,./ResampledDatabase/Shelf/D00725.obj,./ResampledDatabase/City/D01018.obj,./ResampledDatabase/DeskPhone/D00958.obj,./ResampledDatabase/DeskPhone/D00154.obj,./ResampledDatabase/Monitor/D00391.obj
./ResampledDatabase/Apartment\D00156.obj,0.989278,0.166667,0.0454545,0.0714286,./ResampledDatabase/Apartment/D00651.obj,./ResampledDatabase/BuildingNonResidential/m405.obj,./ResampledDatabase/Bookset/D01122.obj,./ResampledDatabase/Bookset/D01110.obj,./ResampledDatabase/Drum/D00163.obj,./ResampledDatabase/Bookset/D01050.obj
./ResampledDatabase/Apartment\D00310.obj,0.988454,0,0,0,./ResampledDatabase/Cellphone/D00542.obj,./ResampledDatabase/Helicopter/D00820.obj,./ResampledDatabase/Jet/m1207.obj,./ResampledDatabase/Jet/m1242.obj,./ResampledDatabase/Jet/m1241.obj,./ResampledDatabase/Helicopter/m1318.obj
./ResampledDatabase/Apartment\D00348.obj,0.989278,0.166667,0.0454545,0.0714286,./ResampledDatabase/RectangleTable/m902.obj,./ResampledDatabase/MilitaryVehicle/D00799.obj,./ResampledDatabase/Shelf/m852.obj,./ResampledDatabase/Apartment/D00869.obj,./ResampledDatabase/Shelf/m845.obj,./ResampledDatabase/RectangleTable/m897.obj
./ResampledDatabase/Apartment\D00366.obj,0.988454,0,0,0,./ResampledDatabase/BuildingNonResidential/m414.obj,./ResampledDatabase/Cup/D00035.obj,./ResampledDatabase/House/D00903.obj,./ResampledDatabase/Monitor/D00469.obj,./ResampledDatabase/House/m434.obj,./ResampledDatabase/BuildingNonResidential/m382.obj
./ResampledDatabase/Apartment\D00478.obj,0.988454,0,0,0,./ResampledDatabase/DeskPhone/D00957.obj,./ResampledDatabase/Truck/D00987.obj,./ResampledDatabase/Truck/D00835.obj,./ResampledDatabase/Ship/D00539.obj,./ResampledDatabase/DeskPhone/D00576.obj,./ResampledDatabase/Bicycle/D00930.obj
./ResampledDatabase/Apartment\D00496.obj,0.988454,0,0,0,./ResampledDatabase/RectangleTable/m896.obj,./ResampledDatabase/Door/D01052.obj,./ResampledDatabase/Bed/m946.obj,./ResampledDatabase/Vase/m546.obj,./ResampledDatabase/Door/m1724.obj,./ResampledDatabase/Door/D01194.obj
./ResampledDatabase/Apartment\D00639.obj,0.989278,0.166667,0.0454545,0.0714286,./ResampledDatabase/House/m448.obj,./ResampledDatabase/House/D00665.obj,./ResampledDatabase/HumanHead/D00910.obj,./ResampledDatabase/Apartment/D00953.obj,./ResampledDatabase/ClassicPiano/D00811.obj,./ResampledDatabase/Car/D00452.obj
./ResampledDatabase/Apartment\D00651.obj,0.989278,0.166667,0.0454545,0.0714286,./ResampledDatabase/Apartment/D00156.obj,./ResampledDatabase/BuildingNonResidential/m405.obj,./ResampledDatabase/Bookset/D01122.obj,./ResampledDatabase/Bookset/D01110.obj,./ResampledDatabase/Drum/D00163.obj,./ResampledDatabase/Bookset/D01190.obj
./ResampledDatabase/Apartment\D00681.obj,0.988454,0,0,0,./ResampledDatabase/PianoBoard/D00104.obj,./ResampledDatabase/Bookset/D01078.obj,./ResampledDatabase/Drum/D00596.obj,./ResampledDatabase/PianoBoard/D00623.obj,./ResampledDatabase/PianoBoard/D00235.obj,./ResampledDatabase/House/m452.obj
./ResampledDatabase/Apartment\D00780.obj,0.988454,0,0,0,./ResampledDatabase/Bottle/m486.obj,./ResampledDatabase/Chess/D01043.obj,./ResampledDatabase/Mug/D00908.obj,./ResampledDatabase/HumanHead/m367.obj,./ResampledDatabase/Chess/m1600.obj,./ResampledDatabase/Chess/D01171.obj
./ResampledDatabase/Apartment\D00792.obj,0.988454,0,0,0,./ResampledDatabase/House/D00091.obj,./ResampledDatabase/Vase/m540.obj,./ResampledDatabase/Shelf/m860.obj,./ResampledDatabase/MultiSeat/D00985.obj,./ResampledDatabase/MultiSeat/D00036.obj,./ResampledDatabase/House/m462.obj
./ResampledDatabase/Apartment\D00859.obj,0.988454,0,0,0,./ResampledDatabase/Wheel/m748.obj,./ResampledDatabase/Hat/m1627.obj,./ResampledDatabase/Wheel/m738.obj,./ResampledDatabase/Train/m1584.obj,./ResampledDatabase/MultiSeat/D00053.obj,./ResampledDatabase/MultiSeat/D00237.obj
./ResampledDatabase/Apartment\D00860.obj,0.988454,0,0,0,./ResampledDatabase/Bicycle/D00930.obj,./ResampledDatabase/House/D00001.obj,./ResampledDatabase/Helicopter/D00038.obj,./ResampledDatabase/Truck/D00835.obj,./ResampledDatabase/Quadruped/D00795.obj,./ResampledDatabase/Skyscraper/D00125.obj
./ResampledDatabase/Apartment\D00869.obj,0.989278,0.166667,0.0454545,0.0714286,./ResampledDatabase/Shelf/m853.obj,./ResampledDatabase/Apartment/D00348.obj,./ResampledDatabase/BuildingNonResidential/m382.obj,./ResampledDatabase/Shelf/D00956.obj,./ResampledDatabase/RectangleTable/m902.obj,./ResampledDatabase/MultiSeat/D00652.obj
./ResampledDatabase/Apartment\D00921.obj,0.988454,0,0,0,./ResampledDatabase/Helicopter/m1329.obj,./ResampledDatabase/MilitaryVehicle/D00761.obj,./ResampledDatabase/BuildingNonResidential/m383.obj,./ResampledDatabase/Starship/m1375.obj,./ResampledDatabase/PlantIndoors/D00087.obj,./ResampledDatabase/Car/m1492.obj
./ResampledDatabase/Apartment\D00953.obj,0.989278,0.166667,0.0454545,0.0714286,./ResampledDatabase/HumanHead/D00591.obj,./ResampledDatabase/HumanHead/D00910.obj,./ResampledDatabase/HumanHead/D00653.obj,./ResampledDatabase/Apartment/D00639.obj,./ResampledDatabase/PlantIndoors/D00370.obj,./ResampledDatabase/ClassicPiano/D00120.obj
./ResampledDatabase/Apartment\m463.obj,0.988454,0,0,0,./ResampledDatabase/BuildingNonResidential/m389.obj,./ResampledDatabase/Bookset/D01146.obj,./ResampledDatabase/TruckNonContainer/D00572.obj,./ResampledDatabase/PlantIndoors/m1007.obj,./ResampledDatabase/BuildingNonResidential/m402.obj,./ResampledDatabase/BuildingNonResidential/m385.obj
./ResampledDatabase/Apartment\m464.obj,0.988454,0,0,0,./ResampledDatabase/TruckNonContainer/D00572.obj,./ResampledDatabase/Car/m1492.obj,./ResampledDatabase/Starship/m1375.obj,./ResampledDatabase/BuildingNonResidential/m383.obj,./ResampledDatabase/ClassicPiano/D00034.obj,./ResampledDatabase/TruckNonContainer/D00148.obj
./ResampledDatabase/Apartment\m465.obj,0.988454,0,0,0,./ResampledDatabase/Starship/m1379.obj,./ResampledDatabase/ComputerKeyboard/D00654.obj,./ResampledDatabase/Truck/m1575.obj,./ResampledDatabase/Car/m1544.obj,./ResampledDatabase/Truck/m1576.obj,./ResampledDatabase/ComputerKeyboard/D00127.obj
./ResampledDatabase/AquaticAnimal\m53.obj,0.985567,0,0,0,./ResampledDatabase/Fish/D00142.obj,./ResampledDatabase/Humanoid/m199.obj,./ResampledDatabase/Spoon/D00422.obj,./ResampledDatabase/Starship/m1374.obj,./ResampledDatabase/Chess/D01081.obj,./ResampledDatabase/Cup/m495.obj
./ResampledDatabase/AquaticAnimal\m54.obj,0.985567,0,0,0,./ResampledDatabase/Gun/m655.obj,./ResampledDatabase/Tool/m588.obj,./ResampledDatabase/Ship/m1466.obj,./ResampledDatabase/Apartment/D00086.obj,./ResampledDatabase/Ship/m1451.obj,./ResampledDatabase/Cellphone/D00848.obj
./ResampledDatabase/AquaticAnimal\m55.obj,0.986392,0.166667,0.0344828,0.0571429,./ResampledDatabase/Spoon/D00422.obj,./ResampledDatabase/FloorLamp/m617.obj,./ResampledDatabase/AquaticAnimal/m53.obj,./ResampledDatabase/Chess/m1598.obj,./ResampledDatabase/Chess/D01112.obj,./ResampledDatabase/Gun/m676.obj
./ResampledDatabase/AquaticAnimal\m56.obj,0.985567,0,0,0,./ResampledDatabase/PlantWildNonTree/m974.obj,./ResampledDatabase/Sword/m709.obj,./ResampledDatabase/MultiSeat/D00263.obj,./ResampledDatabase/PlantWildNonTree/m987.obj,./ResampledDatabase/RoundTable/D00948.obj,./ResampledDatabase/Rocket/D00697.obj
./ResampledDatabase/AquaticAnimal\m57.obj,0.985567,0,0,0,./ResampledDatabase/Gun/m676.obj,./ResampledDatabase/Spoon/D00144.obj,./ResampledDatabase/Tool/m1113.obj,./ResampledDatabase/Chess/m1599.obj,./ResampledDatabase/Tree/m1096.obj,./ResampledDatabase/Sign/m1670.obj
./ResampledDatabase/AquaticAnimal\m58.obj,0.985567,0,0,0,./ResampledDatabase/Tree/m1050.obj,./ResampledDatabase/Bird/m50.obj,./ResampledDatabase/House/m456.obj,./ResampledDatabase/Tree/D00777.obj,./ResampledDatabase/Ship/m1457.obj,./ResampledDatabase/NonWheelChair/D00445.obj
./ResampledDatabase/AquaticAnimal\m59.obj,0.985567,0,0,0,./ResampledDatabase/Truck/D00406.obj,./ResampledDatabase/Train/D01163.obj,./ResampledDatabase/ClassicPiano/D00009.obj,./ResampledDatabase/Train/D01027.obj,./ResampledDatabase/Drum/D00189.obj,./ResampledDatabase/TruckNonContainer/D00252.obj
./ResampledDatabase/AquaticAnimal\m60.obj,0.986392,0.166667,0.0344828,0.0571429,./ResampledDatabase/Hand/m336.obj,./ResampledDatabase/Hand/m324.obj,./ResampledDatabase/AquaticAnimal/m62.obj,./ResampledDatabase/Hand/D01153.obj,./ResampledDatabase/Car/m1515.obj,./ResampledDatabase/Hand/D01118.obj
./ResampledDatabase/AquaticAnimal\m61.obj,0.986392,0.166667,0.0344828,0.0571429,./ResampledDatabase/Fish/D00293.obj,./ResampledDatabase/Insect/D00315.obj,./ResampledDatabase/NonWheelChair/m788.obj,./ResampledDatabase/Fish/D00682.obj,./ResampledDatabase/AquaticAnimal/m62.obj,./ResampledDatabase/Quadruped/D00226.obj
./ResampledDatabase/AquaticAnimal\m62.obj,0.987216,0.333333,0.0689655,0.114286,./ResampledDatabase/AquaticAnimal/m60.obj,./ResampledDatabase/Humanoid/m152.obj,./ResampledDatabase/Car/m1515.obj,./ResampledDatabase/Gun/m665.obj,./ResampledDatabase/Hand/m336.obj,./ResampledDatabase/AquaticAnimal/m61.obj
./ResampledDatabase/AquaticAnimal\m63.obj,0.985567,0,0,0,./ResampledDatabase/WheelChair/D00499.obj,./ResampledDatabase/PlantIndoors/m1027.obj,./ResampledDatabase/Chess/D01021.obj,./ResampledDatabase/Fish/D00251.obj,./ResampledDatabase/Hand/D01041.obj,./ResampledDatabase/NonWheelChair/m804.obj
./ResampledDatabase/AquaticAnimal\m64.obj,0.985567,0,0,0,./ResampledDatabase/Ship/D00099.obj,./ResampledDatabase/Violin/D00704.obj,./ResampledDatabase/Guitar/D00222.obj,./ResampledDatabase/Skyscraper/D00822.obj,./ResampledDatabase/Gun/D00244.obj,./ResampledDatabase/Fish/D00012.obj
./ResampledDatabase/AquaticAnimal\m65.obj,0.985567,0,0,0,./ResampledDatabase/Starship/m1370.obj,./ResampledDatabase/PlantIndoors/m1005.obj,./ResampledDatabase/Fish/D00643.obj,./ResampledDatabase/Ship/m1450.obj,./ResampledDatabase/PlantIndoors/m1000.obj,./ResampledDatabase/WheelChair/D00499.obj
./ResampledDatabase/AquaticAnimal\m66.obj,0.985567,0,0,0,./ResampledDatabase/Helicopter/m1334.obj,./ResampledDatabase/Computer/m1775.obj,./ResampledDatabase/Helicopter/m1333.obj,./ResampledDatabase/Computer/D01026.obj,./ResampledDatabase/Chess/m1606.obj,./ResampledDatabase/Humanoid/m206.obj
./ResampledDatabase/AquaticAnimal\m67.obj,0.985567,0,0,0,./ResampledDatabase/Quadruped/D00508.obj,./ResampledDatabase/Bird/D00546.obj,./ResampledDatabase/Humanoid/m253.obj,./ResampledDatabase/Humanoid/m258.obj,./ResampledDatabase/Car/m1502.obj,./ResampledDatabase/Violin/D00701.obj
./ResampledDatabase/AquaticAnimal\m68.obj,0.985567,0,0,0,./ResampledDatabase/Ship/m1433.obj,./ResampledDatabase/Bird/D00234.obj,./ResampledDatabase/Ship/D00771.obj,./ResampledDatabase/Starship/m1369.obj,./ResampledDatabase/SubmachineGun/D00431.obj,./ResampledDatabase/Humanoid/m245.obj
./ResampledDatabase/AquaticAnimal\m69.obj,0.985567,0,0,0,./ResampledDatabase/Fish/D00165.obj,./ResampledDatabase/Jet/m1185.obj,./ResampledDatabase/Fish/D00633.obj,./ResampledDatabase/Ship/D00027.obj,./ResampledDatabase/Gun/m665.obj,./ResampledDatabase/Car/m1515.obj
./ResampledDatabase/AquaticAnimal\m70.obj,0.986392,0.166667,0.0344828,0.0571429,./ResampledDatabase/Helicopter/m1302.obj,./ResampledDatabase/Humanoid/m175.obj,./ResampledDatabase/Humanoid/m123.obj,./ResampledDatabase/AquaticAnimal/m81.obj,./ResampledDatabase/Humanoid/m261.obj,./ResampledDatabase/Bicycle/D00750.obj
./ResampledDatabase/AquaticAnimal\m71.obj,0.985567,0,0,0,./ResampledDatabase/Humanoid/m185.obj,./ResampledDatabase/Ship/m1434.obj,./ResampledDatabase/Gun/m685.obj,./ResampledDatabase/NonWheelChair/m806.obj,./ResampledDatabase/PlantWildNonTree/m979.obj,./ResampledDatabase/Starship/m1353.obj
./ResampledDatabase/AquaticAnimal\m72.obj,0.985567,0,0,0,./ResampledDatabase/Humanoid/m160.obj,./ResampledDatabase/Insect/m4.obj,./ResampledDatabase/Jet/m1301.obj,./ResampledDatabase/Jet/m1246.obj,./ResampledDatabase/Humanoid/m261.obj,./ResampledDatabase/PlantWildNonTree/m967.obj
./ResampledDatabase/AquaticAnimal\m73.obj,0.985567,0,0,0,./ResampledDatabase/Insect/D00672.obj,./ResampledDatabase/Jet/m1288.obj,./ResampledDatabase/Biplane/D00632.obj,./ResampledDatabase/Humanoid/m262.obj,./ResampledDatabase/Biplane/D00199.obj,./ResampledDatabase/Humanoid/m157.obj
./ResampledDatabase/AquaticAnimal\m74.obj,0.987216,0.333333,0.0689655,0.114286,./ResampledDatabase/AquaticAnimal/m81.obj,./ResampledDatabase/PlantIndoors/m1036.obj,./ResampledDatabase/Humanoid/m260.obj,./ResampledDatabase/BuildingNonResidential/m409.obj,./ResampledDatabase/Humanoid/m175.obj,./ResampledDatabase/AquaticAnimal/m61.obj
./ResampledDatabase/AquaticAnimal\m75.obj,0.986392,0.166667,0.0344828,0.0571429,./ResampledDatabase/AquaticAnimal/m78.obj,./ResampledDatabase/Jet/m1175.obj,./ResampledDatabase/Jet/m1190.obj,./ResampledDatabase/Humanoid/m206.obj,./ResampledDatabase/Jet/m1247.obj,./ResampledDatabase/Rocket/D00585.obj
./ResampledDatabase/AquaticAnimal\m76.obj,0.985567,0,0,0,./ResampledDatabase/Humanoid/m206.obj,./ResampledDatabase/Insect/m1.obj,./ResampledDatabase/Knife/m728.obj,./ResampledDatabase/Jet/m1247.obj,./ResampledDatabase/Jet/m1219.obj,./ResampledDatabase/Bird/m30.obj
./ResampledDatabase/AquaticAnimal\m77.obj,0.985567,0,0,0,./ResampledDatabase/Helicopter/D00644.obj,./ResampledDatabase/Jet/m1230.obj,./ResampledDatabase/Jet/m1279.obj,./ResampledDatabase/Jet/m1199.obj,./ResampledDatabase/Bicycle/D00555.obj,./ResampledDatabase/Monoplane/D00098.obj
./ResampledDatabase/AquaticAnimal\m78.obj,0.986392,0.166667,0.0344828,0.0571429,./ResampledDatabase/Insect/m4.obj,./ResampledDatabase/Humanoid/m160.obj,./ResampledDatabase/AquaticAnimal/m75.obj,./ResampledDatabase/Helicopter/m1330.obj,./ResampledDatabase/Humanoid/m206.obj,./ResampledDatabase/Helicopter/m1316.obj
./ResampledDatabase/AquaticAnimal\m79.obj,0.985567,0,0,0,./ResampledDatabase/Insect/D00291.obj,./ResampledDatabase/Starship/m1369.obj,./ResampledDatabase/Ship/m1440.obj,./ResampledDatabase/Tool/m1107.obj,./ResampledDatabase/Gun/m682.obj,./ResampledDatabase/Ship/D00771.obj
./ResampledDatabase/AquaticAnimal\m80.obj,0.985567,0,0,0,./ResampledDatabase/Jet/m1249.obj,./ResampledDatabase/Humanoid/m240.obj,./ResampledDatabase/Humanoid/m244.obj,./ResampledDatabase/Ship/D00791.obj,./ResampledDatabase/Humanoid/m246.obj,./ResampledDatabase/Humanoid/m238.obj
./ResampledDatabase/AquaticAnimal\m81.obj,0.987216,0.333333,0.0689655,0.114286,./ResampledDatabase/AquaticAnimal/m74.obj,./ResampledDatabase/AquaticAnimal/m70.obj,./ResampledDatabase/Ship/m1448.obj,./ResampledDatabase/Humanoid/m260.obj,./ResampledDatabase/PlantIndoors/m1036.obj,./ResampledDatabase/Jet/m1249.obj
./ResampledDatabase/Bed\D00031.obj,0.987216,0.166667,0.037037,0.0606061,./ResampledDatabase/MultiSeat/D00586.obj,./ResampledDatabase/MultiSeat/m838.obj,./ResampledDatabase/MultiSeat/D00588.obj,./ResampledDatabase/Bed/D00836.obj,./ResampledDatabase/Mug/m509.obj,./ResampledDatabase/MultiSeat/m831.obj
./ResampledDatabase/Bed\D00110.obj,0.986392,0,0,0,./ResampledDatabase/Door/D01062.obj,./ResampledDatabase/Door/D01155.obj,./ResampledDatabase/MultiSeat/m841.obj,./ResampledDatabase/MultiSeat/m775.obj,./ResampledDatabase/Sign/m1683.obj,./ResampledDatabase/Shelf/D00352.obj
./ResampledDatabase/Bed\D00121.obj,0.988041,0.333333,0.0740741,0.121212,./ResampledDatabase/MultiSeat/D00985.obj,./ResampledDatabase/Bed/D00417.obj,./ResampledDatabase/Apartment/D00792.obj,./ResampledDatabase/MultiSeat/D00036.obj,./ResampledDatabase/Bed/D00650.obj,./ResampledDatabase/Shelf/m860.obj
./ResampledDatabase/Bed\D00184.obj,0.987216,0.166667,0.037037,0.0606061,./ResampledDatabase/PianoBoard/D00460.obj,./ResampledDatabase/Bed/D00307.obj,./ResampledDatabase/Shelf/D00129.obj,./ResampledDatabase/PianoBoard/D00721.obj,./ResampledDatabase/PianoBoard/D00332.obj,./ResampledDatabase/BuildingNonResidential/m420.obj
./ResampledDatabase/Bed\D00210.obj,0.986392,0,0,0,./ResampledDatabase/Shelf/D00242.obj,./ResampledDatabase/House/D00901.obj,./ResampledDatabase/Shelf/D00592.obj,./ResampledDatabase/Shelf/m850.obj,./ResampledDatabase/Shelf/D00772.obj,./ResampledDatabase/RectangleTable/m901.obj
./ResampledDatabase/Bed\D00213.obj,0.988041,0.333333,0.0740741,0.121212,./ResampledDatabase/Bed/D00969.obj,./ResampledDatabase/MultiSeat/m835.obj,./ResampledDatabase/MultiSeat/D00245.obj,./ResampledDatabase/MultiSeat/m830.obj,./ResampledDatabase/DeskPhone/D00486.obj,./ResampledDatabase/Bed/D00836.obj
./ResampledDatabase/Bed\D00217.obj,0.986392,0,0,0,./ResampledDatabase/Computer/D01102.obj,./ResampledDatabase/Shelf/m864.obj,./ResampledDatabase/Car/m1490.obj,./ResampledDatabase/MultiSeat/D00652.obj,./ResampledDatabase/MultiSeat/m781.obj,./ResampledDatabase/NonWheelChair/m786.obj
./ResampledDatabase/Bed\D00307.obj,0.987216,0.166667,0.037037,0.0606061,./ResampledDatabase/Shelf/m847.obj,./ResampledDatabase/MilitaryVehicle/D00017.obj,./ResampledDatabase/House/D00286.obj,./ResampledDatabase/Shelf/m849.obj,./ResampledDatabase/Bed/D00565.obj,./ResampledDatabase/MultiSeat/D00036.obj
./ResampledDatabase/Bed\D00322.obj,0.988866,0.5,0.111111,0.181818,./ResampledDatabase/Bed/D00650.obj,./ResampledDatabase/Bed/D00213.obj,./ResampledDatabase/Bed/D00836.obj,./ResampledDatabase/RoundTable/m934.obj,./ResampledDatabase/MultiSeat/m839.obj,./ResampledDatabase/House/D00095.obj
./ResampledDatabase/Bed\D00417.obj,0.988041,0.333333,0.0740741,0.121212,./ResampledDatabase/Chess/m1596.obj,./ResampledDatabase/MilitaryVehicle/D00952.obj,./ResampledDatabase/MultiSeat/m839.obj,./ResampledDatabase/Bed/D00650.obj,./ResampledDatabase/Monitor/D00852.obj,./ResampledDatabase/Bed/D00121.obj
./ResampledDatabase/Bed\D00538.obj,0.986392,0,0,0,./ResampledDatabase/MultiSeat/m837.obj,./ResampledDatabase/Car/m1497.obj,./ResampledDatabase/Car/D00865.obj,./ResampledDatabase/RoundTable/D00492.obj,./ResampledDatabase/Car/m1486.obj,./ResampledDatabase/Car/m1523.obj
./ResampledDatabase/Bed\D00545.obj,0.987216,0.166667,0.037037,0.0606061,./ResampledDatabase/Monitor/D00141.obj,./ResampledDatabase/RectangleTable/m890.obj,./ResampledDatabase/Bed/D00735.obj,./ResampledDatabase/RectangleTable/m886.obj,./ResampledDatabase/MultiSeat/m841.obj,./ResampledDatabase/DeskPhone/D00958.obj
./ResampledDatabase/Bed\D00552.obj,0.986392,0,0,0,./ResampledDatabase/Bird/D00442.obj,./ResampledDatabase/Insect/D00180.obj,./ResampledDatabase/Biplane/D00373.obj,./ResampledDatabase/RectangleTable/m894.obj,./ResampledDatabase/RectangleTable/m763.obj,./ResampledDatabase/Bicycle/D00974.obj
./ResampledDatabase/Bed\D00565.obj,0.987216,0.166667,0.037037,0.0606061,./ResampledDatabase/MultiSeat/D00036.obj,./ResampledDatabase/Bed/D00735.obj,./ResampledDatabase/RectangleTable/m887.obj,./ResampledDatabase/Shelf/m860.obj,./ResampledDatabase/RectangleTable/m886.obj,./ResampledDatabase/House/D00286.obj
