Class,File,SurfaceArea,Volume,Compactness,Rectangularity,Diameter,Convexity,Eccentricity
"./ResampledDatabase/Apartment",D00953.obj,4.71963,0.00774486,15496.9,0.00184711,1.03425,1.57652,2.76651
"./ResampledDatabase/Apartment",m463.obj,9.62836,-0.00296143,899914,-0.000799562,1.12569,-0.223536,4.70332
"./ResampledDatabase/Apartment",m464.obj,1.17206,2.31199e-05,2.66335e+07,0.000278191,0.489981,0.0364057,19.5369
"./ResampledDatabase/Apartment",m465.obj,3.94554,-0.0076809,9205.41,-0.019921,1.01953,-6.21326,36.657
"./ResampledDatabase/AquaticAnimal",m53.obj,0.10877,-0.000387021,75.9646,-0.00909373,0.491308,-1.36239,69.5744
"./ResampledDatabase/AquaticAnimal",m54.obj,0.138814,0.000267532,330.445,0.00353883,0.500329,1.3911,39.8946
"./ResampledDatabase/AquaticAnimal",m55.obj,0.121328,-0.000341047,135.768,-0.00645992,0.493864,-13.4955,55.0129
"./ResampledDatabase/AquaticAnimal",m56.obj,0.116081,3.03025e-05,15061.7,0.000647031,0.493856,0.778972,58.308
"./ResampledDatabase/AquaticAnimal",m57.obj,0.118832,-2.55326e-05,22759.2,-0.000619851,0.492713,-0.0596969,83.8329
"./ResampledDatabase/AquaticAnimal",m58.obj,0.924408,0.0305794,7.46933,0.0141771,1.00643,12.6128,4.97882
"./ResampledDatabase/AquaticAnimal",m59.obj,6.84171,0.00170545,973559,0.0048099,1.00552,1.06539,37.0603
"./ResampledDatabase/AquaticAnimal",m60.obj,0.62886,0.00224726,435.417,0.00204678,1.00749,1.09731,29.5051
"./ResampledDatabase/AquaticAnimal",m61.obj,0.457506,0.00514612,31.9726,0.00854247,1.02136,6.62077,23.8277
"./ResampledDatabase/AquaticAnimal",m62.obj,0.640493,0.00805775,35.7819,0.0118111,1.02304,5.9477,63.3883
"./ResampledDatabase/AquaticAnimal",m63.obj,1.46369,0.0612382,7.39344,0.0131284,1.04803,4.85535,2.82899
"./ResampledDatabase/AquaticAnimal",m64.obj,0.528058,-2.1965e-05,2.69856e+06,-3.0958e-05,1.00873,-0.0539276,36.1494
"./ResampledDatabase/AquaticAnimal",m65.obj,0.763404,-0.00107833,3383.03,-0.000559972,1.025,-1.07848,17.5195
"./ResampledDatabase/AquaticAnimal",m66.obj,1.64081,0.031444,39.5042,0.0161357,1.04115,2.32255,12.5737
"./ResampledDatabase/AquaticAnimal",m67.obj,0.122921,0.000153165,700.01,0.00197123,0.487385,0.510908,73.6989
"./ResampledDatabase/AquaticAnimal",m68.obj,0.406646,0.00125711,376.23,0.00344392,1.00558,3.0397,28.0132
"./ResampledDatabase/AquaticAnimal",m69.obj,0.54949,0.00363041,111.305,0.00513978,1.01053,0.722759,22.5397
"./ResampledDatabase/AquaticAnimal",m70.obj,0.478779,0.000954225,1065.74,0.00103987,1.0127,0.626829,27.7356
"./ResampledDatabase/AquaticAnimal",m71.obj,0.525477,0.000370099,9366.43,0.000400291,1.01252,0.157921,16.7894
"./ResampledDatabase/AquaticAnimal",m72.obj,0.543106,0.000860955,1910.92,0.000947094,1.0087,0.330868,21.0497
"./ResampledDatabase/AquaticAnimal",m73.obj,0.741365,0.016734,12.866,0.00917547,1.02275,1.68398,14.1415
"./ResampledDatabase/AquaticAnimal",m74.obj,0.401187,0.00283515,71.0291,0.00327319,1.00511,0.510281,21.1409
"./ResampledDatabase/AquaticAnimal",m75.obj,0.5094,0.000999472,1169.99,0.000800649,1.02214,0.147057,17.3082
"./ResampledDatabase/AquaticAnimal",m76.obj,0.454646,0.00352964,66.697,0.00327142,1.00521,0.456922,22.6815
"./ResampledDatabase/AquaticAnimal",m77.obj,0.180868,8.17191e-05,7834.03,0.000383142,0.534894,0.0434874,26.2979
"./ResampledDatabase/AquaticAnimal",m78.obj,0.491852,-0.00228961,200.69,-0.00130306,1.04875,-0.256255,15.3942
"./ResampledDatabase/AquaticAnimal",m79.obj,0.300311,-0.00101467,232.599,-0.00179435,1.02463,-0.321637,49.6435
"./ResampledDatabase/AquaticAnimal",m80.obj,0.438386,0.00713822,14.6197,0.00725488,1.02159,1.79885,24.7839
"./ResampledDatabase/AquaticAnimal",m81.obj,0.386815,0.000567217,1590.6,0.000617615,1.00907,0.186069,20.8065
"./ResampledDatabase/Bed",D00031.obj,3.57216,0.0537606,139.448,0.020683,1.16375,1.55486,24.0137
"./ResampledDatabase/Bed",D00110.obj,1.6298,0.032441,36.3718,0.0156976,1.15632,0.745893,43.4903
"./ResampledDatabase/Bed",D00121.obj,2.22858,0.00250427,15605.2,0.00107044,1.06592,0.0680203,13.4302
"./ResampledDatabase/Bed",D00184.obj,4.49028,0.138811,41.5454,0.0653983,1.01161,0.961431,8.0567
"./ResampledDatabase/Bed",D00210.obj,4.21789,0.0288189,798.87,0.0144687,1.12169,0.40185,17.5417
"./ResampledDatabase/Bed",D00213.obj,2.56935,0.0254503,231.544,0.0162813,1.11885,22.5238,32.9553
"./ResampledDatabase/Bed",D00217.obj,2.17289,0.0259009,135.217,0.0138507,1.12346,2.05939,24.8186
"./ResampledDatabase/Bed",D00307.obj,3.98153,0.0509423,215.051,0.0202062,1.07195,4.42793,22.7138
"./ResampledDatabase/Bed",D00322.obj,1.62753,0.00215113,8237.63,0.00112621,1.05184,0.285477,35.4015
"./ResampledDatabase/Bed",D00417.obj,3.86287,0.0924591,59.618,0.0726677,1.19634,1.19289,31.5157
"./ResampledDatabase/Bed",D00538.obj,1.71168,0.0461178,20.8488,0.0315412,1.16407,1.35874,14.0357
"./ResampledDatabase/Bed",D00545.obj,2.40075,0.0237123,217.591,0.00948079,1.13104,0.639583,23.5481
"./ResampledDatabase/Bed",D00552.obj,0.774222,0.0349386,3.3615,0.0225654,0.841842,5.64741,5.38184
"./ResampledDatabase/Bed",D00565.obj,2.86128,0.0555724,67.067,0.0269375,1.14487,5.22742,44.0962
"./ResampledDatabase/Bed",D00650.obj,2.6501,0.0265374,233.676,0.0146268,1.16,0.76312,19.8776
"./ResampledDatabase/Bed",D00735.obj,3.11624,0.0571906,81.8072,0.0197042,1.09466,5.40939,17.298
"./ResampledDatabase/Bed",D00836.obj,2.73811,0.0364429,136.67,0.0169133,1.12313,2.3761,13.7004
"./ResampledDatabase/Bed",D00839.obj,3.53033,0.0796323,61.3504,0.0514253,1.06338,10.3663,30.788
"./ResampledDatabase/Bed",D00969.obj,2.40388,0.0637996,30.1753,0.0295243,1.03984,2.22087,9.66247
"./ResampledDatabase/Bed",D00988.obj,3.33439,9.63729e-05,3.52928e+07,4.0758e-05,1.18021,0.00106913,26.3177
"./ResampledDatabase/Bed",m945.obj,1.06587,0.00143134,5226.1,0.00267285,0.676731,0.311982,6.18344
"./ResampledDatabase/Bed",m946.obj,2.12165,0.0165836,307.053,0.00849993,1.14976,0.420295,21.1931
"./ResampledDatabase/Bed",m947.obj,1.92895,0.037557,44.9911,0.0144577,1.27697,0.656731,19.6408
"./ResampledDatabase/Bed",m948.obj,4.85686,0.110598,82.8173,0.0153436,1.61955,1.22048,1.80588
"./ResampledDatabase/Bed",m949.obj,4.22277,0.0661916,151.961,0.0172466,1.47203,1.16785,5.04597
"./ResampledDatabase/Bed",m950.obj,4.07263,0.0186983,1708.32,0.00327895,1.51083,2.90003,3.05151
"./ResampledDatabase/Bed",m951.obj,3.17017,0.105793,25.1696,0.0301722,1.39616,11.4295,22.1833
"./ResampledDatabase/Bicycle",D00016.obj,0.529004,0.00258306,196.181,0.00232357,1.00528,0.864127,184.779
"./ResampledDatabase/Bicycle",D00033.obj,0.500573,0.000751085,1965.94,0.000548166,1.00015,0.134924,101.146
"./ResampledDatabase/Bicycle",D00040.obj,0.662398,0.00451055,126.313,0.00310767,1.0215,1.04632,31.1145
"./ResampledDatabase/Bicycle",D00077.obj,0.558473,0.00419366,87.5724,0.00296612,0.905216,0.228802,59.1593
"./ResampledDatabase/Bicycle",D00078.obj,0.689895,0.00619342,75.6896,0.00334937,0.961,0.44336,27.2891
"./ResampledDatabase/Bicycle",D00462.obj,0.697496,0.00523297,109.566,0.00440782,0.980733,0.506618,62.6994
"./ResampledDatabase/Bicycle",D00514.obj,0.519908,0.0029591,141.908,0.00318942,0.950346,0.224984,66.4485
"./ResampledDatabase/Bicycle",D00536.obj,0.580593,0.00456627,82.9929,0.0021666,0.943527,0.245693,10.6464
"./ResampledDatabase/Bicycle",D00555.obj,0.77298,0.00434657,216.152,0.00261764,0.990897,0.594197,39.0117
"./ResampledDatabase/Bicycle",D00558.obj,0.782428,0.00793003,67.3489,0.00694077,0.967132,0.46466,56.6495
"./ResampledDatabase/Bicycle",D00567.obj,0.50285,0.00478554,49.0907,0.00330812,1.00424,6.69349,91.3806
"./ResampledDatabase/Bicycle",D00621.obj,0.530469,0.00433781,70.1434,0.00385805,1.00666,0.861906,184.779
"./ResampledDatabase/Bicycle",D00708.obj,0.681688,0.00535875,97.5387,0.00388808,0.974249,0.931542,73.9163
"./ResampledDatabase/Bicycle",D00750.obj,1.13583,0.00183977,3827.94,0.000893392,1.00923,1.85717,37.8058
"./ResampledDatabase/Bicycle",D00838.obj,0.726445,0.00547128,113.234,0.00410053,0.985425,0.695205,79.063
"./ResampledDatabase/Bicycle",D00847.obj,0.752236,0.00765376,64.2482,0.00420148,1.00349,0.354856,27.1194
"./ResampledDatabase/Bicycle",D00904.obj,0.484654,0.00745999,18.087,0.00814006,1.01265,4.94284,112.903
"./ResampledDatabase/Bicycle",D00930.obj,0.785106,0.00410255,254.228,0.00254011,0.917557,0.434086,30.0657
"./ResampledDatabase/Bicycle",D00931.obj,0.711658,0.00216117,682.314,0.00197901,0.989194,0.457698,44.6135
"./ResampledDatabase/Bicycle",D00974.obj,0.650904,0.0039266,158.148,0.00435444,0.913708,0.312555,49.2547
"./ResampledDatabase/Bicycle",m1472.obj,0.434521,0.0014441,347.845,0.000788234,1.00012,0.141112,39.5618
"./ResampledDatabase/Bicycle",m1473.obj,0.50045,0.000732204,2067.12,0.000536474,1.00003,0.831062,101.147
"./ResampledDatabase/Bicycle",m1475.obj,0.185054,0.000189349,1562.84,0.00196812,0.487191,0.101672,49.2349
"./ResampledDatabase/Bicycle",m1476.obj,0.500356,0.00219176,230.568,0.00163752,1.00175,0.37557,91.3805
"./ResampledDatabase/Bicycle",m1477.obj,0.177301,0.000195975,1283.16,0.000994246,0.487181,0.0878273,27.3565
"./ResampledDatabase/Bicycle",m1478.obj,0.523501,0.00254893,195.247,0.00246829,1.00003,0.415577,184.78
"./ResampledDatabase/Biplane",D00069.obj,1.40443,-0.00455519,1180.42,-0.00553436,1.01331,-0.336211,11.7396
"./ResampledDatabase/Biplane",D00132.obj,1.02292,0.000429127,51392.1,0.000394839,1.01382,0.333984,32.3637
"./ResampledDatabase/Biplane",D00178.obj,0.872403,0.00318919,577.214,0.00929078,1.19218,0.48839,12.417
"./ResampledDatabase/Biplane",D00199.obj,0.879407,0.00164064,2234.05,0.00091147,1.01473,0.234685,9.55553
"./ResampledDatabase/Biplane",D00246.obj,0.56012,-0.00020553,36782.4,-0.000303279,0.993773,-0.095327,14.6013
"./ResampledDatabase/Biplane",D00276.obj,1.62737,0.0124374,246.347,0.00318779,1.02973,1.07191,3.8985
"./ResampledDatabase/Biplane",D00277.obj,0.597887,0.000129658,112410,9.3032e-05,0.888609,0.119234,5.0933
"./ResampledDatabase/Biplane",D00320.obj,0.759011,0.0032688,361.84,0.00308138,0.997312,0.206015,8.78236
"./ResampledDatabase/Biplane",D00373.obj,1.15057,0.00687686,284.78,0.00380077,0.984791,0.733151,13.0003
"./ResampledDatabase/Biplane",D00410.obj,0.993995,3.02338e-05,9.49979e+06,2.92332e-05,1.02714,0.00441065,14.7989
"./ResampledDatabase/Biplane",D00490.obj,0.938486,0.00211337,1636.37,0.00189487,1.01169,1.70873,9.70165
"./ResampledDatabase/Biplane",D00515.obj,1.59382,0.0163317,134.216,0.0103632,1.10147,0.622196,8.36154
"./ResampledDatabase/Biplane",D00601.obj,1.89554,0.0221796,122.416,0.0133502,1.08671,0.450324,3.56311
"./ResampledDatabase/Biplane",D00616.obj,0.714007,0.000805528,4960.14,0.0011464,0.966328,0.410774,17.9307
"./ResampledDatabase/Biplane",D00632.obj,0.95648,-0.00272046,1045.42,-0.00145934,1.00988,-0.239673,7.80321
"./ResampledDatabase/Biplane",D00634.obj,1.06436,0.000396436,67837.3,0.000224108,1.00205,0.00807139,7.09391
"./ResampledDatabase/Biplane",D00666.obj,1.14598,0.00273684,1776.54,0.00147973,1.02813,0.298087,12.4236
"./ResampledDatabase/Biplane",D00854.obj,0.92067,0.000396628,43862.4,0.000264452,0.988367,0.200104,6.69687
"./ResampledDatabase/Biplane",D00890.obj,1.50473,0.000192728,811021,0.000117356,1.00838,0.0151894,14.784
"./ResampledDatabase/Biplane",D00900.obj,0.525658,0.000423194,7170.97,0.000339235,0.84212,57.7677,12.4072
"./ResampledDatabase/Biplane",m1118.obj,0.208097,0.000553277,260.292,0.00561612,0.495451,0.890984,12.9158
"./ResampledDatabase/Biplane",m1119.obj,1.31036,0.0033688,1752.96,0.00135723,1.02302,0.208099,6.15288
"./ResampledDatabase/Biplane",m1120.obj,0.482657,0.000143618,48199.8,0.000506232,0.49559,0.0697589,13.4058
"./ResampledDatabase/Biplane",m1121.obj,0.90806,0.000597443,18548.1,0.000289203,1.00003,0.134971,6.09622
"./ResampledDatabase/Biplane",m1122.obj,0.33413,1.10127e-05,2.71963e+06,4.55379e-05,0.497424,0.00320835,8.98447
"./ResampledDatabase/Biplane",m1123.obj,1.23686,0.00172537,5620.12,0.000986132,1.03078,1.99312,11.0703
"./ResampledDatabase/Biplane",m1124.obj,0.840736,5.94925e-05,1.48458e+06,5.11581e-05,1.0146,0.00985072,15.4077
"./ResampledDatabase/Biplane",m1125.obj,1.30292,0.00856108,266.833,0.00500318,1.02842,1.37474,6.34406
"./ResampledDatabase/Biplane",m1126.obj,1.11399,-0.000375828,86538.2,-0.000263175,1.04267,-0.0763416,9.15958
"./ResampledDatabase/Biplane",m1127.obj,0.977242,0.00400559,514.306,0.00295255,1.02833,0.686393,11.1709
"./ResampledDatabase/Biplane",m1128.obj,1.14808,0.00190724,3678.38,0.00105272,1.02874,0.215924,13.0744
"./ResampledDatabase/Biplane",m1129.obj,0.954966,0.00612449,205.292,0.0031856,1.00365,1.90194,7.38488
"./ResampledDatabase/Biplane",m1131.obj,0.947199,0.000252862,117518,0.000244054,1.02782,0.109939,11.9377
"./ResampledDatabase/Biplane",m1132.obj,0.882416,0.000494307,24864.2,0.000432579,1.01551,0.0888155,21.4925
"./ResampledDatabase/Biplane",m1133.obj,0.958005,0.00558662,249.088,0.00295667,1.01068,1.08406,7.80326
"./ResampledDatabase/Biplane",m1134.obj,0.586642,0.00203563,430.792,0.00299497,1.00844,1.43902,41.8861
"./ResampledDatabase/Biplane",m1135.obj,0.886865,-0.000763688,10575.2,-0.00105988,1.0155,-0.122526,21.0249
"./ResampledDatabase/Biplane",m1136.obj,0.421266,0.00147635,303.277,0.00149678,1,1.85862,6.57614
"./ResampledDatabase/Biplane",m1137.obj,0.693812,0.000495268,12039,0.000732224,1.00534,0.815978,38.9125
"./ResampledDatabase/Biplane",m1138.obj,1.84988,0.00505394,2191.38,0.00172726,1.00602,0.115598,6.37409
"./ResampledDatabase/Biplane",m1139.obj,1.06133,0.000455494,50948.8,0.000331038,1.0205,0.220047,8.87146
"./ResampledDatabase/Biplane",m1141.obj,0.244657,2.43331e-05,218690,0.000150593,0.48718,0.00634752,6.16198
"./ResampledDatabase/Biplane",m1143.obj,1.42513,-0.00508067,991.448,-0.00647139,1.01482,-2.84491,12.2305
"./ResampledDatabase/Biplane",m1144.obj,1.08195,0.00132608,6368.37,0.000811904,1.00214,0.127495,6.32708
"./ResampledDatabase/Biplane",m1146.obj,0.680715,0.000649636,6608.51,0.000285657,1.0272,0.165342,33.0921
"./ResampledDatabase/Bird",D00089.obj,0.422157,0.0069991,13.5796,0.00661206,1.00001,3.12751,9.04401
"./ResampledDatabase/Bird",D00113.obj,1.84218,0.032312,52.944,0.0106323,0.894315,1.6623,3.98389
"./ResampledDatabase/Bird",D00164.obj,0.66561,0.00118617,1853.18,0.00113428,0.799106,0.156936,5.85131
"./ResampledDatabase/Bird",D00234.obj,0.52136,0.00725876,23.7813,0.0045169,1.0003,6.29262,9.66049
"./ResampledDatabase/Bird",D00271.obj,0.413217,0.00105474,560.777,0.00104851,0.817059,0.332439,12.3952
"./ResampledDatabase/Bird",D00284.obj,0.29548,0.00030449,2460.29,0.000331235,0.813184,0.0683872,4.19399
"./ResampledDatabase/Bird",D00323.obj,0.170889,-0.000339469,382.906,-0.00336401,1.00041,-1.1869,391.468
"./ResampledDatabase/Bird",D00386.obj,0.359833,0.00502635,16.306,0.0165867,1.00026,3.7775,210.565
"./ResampledDatabase/Bird",D00438.obj,0.365981,0.000231645,8077.47,0.000473135,1.00011,0.139594,65.033
"./ResampledDatabase/Bird",D00442.obj,1.11203,0.00378267,849.759,0.00209686,0.981042,0.0637218,2.61274
"./ResampledDatabase/Bird",D00546.obj,0.416348,0.00106316,564.57,0.00181879,1.00178,0.182072,22.5578
"./ResampledDatabase/Bird",D00599.obj,0.277306,8.62883e-05,25323.4,0.000264325,1.00047,0.266147,106.175
"./ResampledDatabase/Bird",D00625.obj,0.4748,0.00737304,17.4095,0.00234687,1.00315,0.428794,8.57676
"./ResampledDatabase/Bird",D00689.obj,0.344453,0.00269596,49.7173,0.00380368,1.00186,1.12831,16.408
"./ResampledDatabase/Bird",D00736.obj,0.381099,0.00259225,72.8295,0.00470242,1.00209,2.07669,39.5592
"./ResampledDatabase/Bird",D00762.obj,0.586305,0.0199585,4.47363,0.0077912,1.00968,3.36163,5.5821
"./ResampledDatabase/Bird",D00862.obj,0.548486,-0.00356883,114.549,-0.0036259,1.00015,-0.35212,29.1515
"./ResampledDatabase/Bird",D00922.obj,0.856975,0.0123632,36.4077,0.00404239,1.02269,0.262531,3.6176
"./ResampledDatabase/Bird",D00961.obj,0.362239,-0.00120171,291.027,-0.00206538,1.00008,-0.906798,53.7786
"./ResampledDatabase/Bird",D00999.obj,0.294742,0.000409502,1350.09,0.00107865,1.0009,0.613075,119.392
"./ResampledDatabase/Bird",m28.obj,0.304455,0.000301422,2746.43,0.00129264,0.533632,0.0758119,7.23759
"./ResampledDatabase/Bird",m29.obj,0.876938,0.0067562,130.632,0.0026627,1.33682,0.427447,8.17134
"./ResampledDatabase/Bird",m30.obj,0.705426,0.00360696,238.571,0.00243453,1.06979,0.848277,10.7843
"./ResampledDatabase/Bird",m31.obj,1.2137,0.0445325,7.97134,0.0215643,1.05756,5.76167,7.8607
"./ResampledDatabase/Bird",m32.obj,0.844506,0.0228414,10.2073,0.0113721,1.15652,10.9432,7.68028
"./ResampledDatabase/Bird",m33.obj,1.55796,0.0225473,65.7694,0.00737837,1.03893,6.97014,3.58861
"./ResampledDatabase/Bird",m34.obj,0.422791,0.00866666,8.89654,0.00810999,1.00013,3.56919,8.90149
"./ResampledDatabase/Bird",m35.obj,1.65648,0.114038,3.09036,0.0274348,1.00116,5.47797,2.28504
"./ResampledDatabase/Bird",m36.obj,1.28632,0.0218569,39.393,0.0034206,1.03844,1.57648,6.48136
"./ResampledDatabase/Bird",m37.obj,0.805183,0.0151464,20.1193,0.00574699,1,0.674284,5.586
"./ResampledDatabase/Bird",m38.obj,0.294513,0.00136849,120.608,0.00244779,1,2.27322,118.15
"./ResampledDatabase/Bird",m39.obj,0.727606,-0.000322295,32789.1,-0.000180545,1.00052,-0.0163713,14.0851
"./ResampledDatabase/Bird",m40.obj,0.343175,0.0023497,64.7245,0.00315948,1,1.5336,16.3997
"./ResampledDatabase/Bird",m41.obj,0.365902,0.0027947,55.4588,0.00582536,1,76.3239,64.8815
"./ResampledDatabase/Bird",m42.obj,0.316029,0.00219829,57.7512,0.00283813,1.00065,4.58216,48.0336
"./ResampledDatabase/Bird",m43.obj,0.26173,0.00122043,106.435,0.00026261,1.14365,0.362046,8.62144
"./ResampledDatabase/Bird",m44.obj,0.470645,0.0150527,4.06816,0.0162215,1,4.12306,35.7834
"./ResampledDatabase/Bird",m45.obj,0.106126,-0.000784408,17.1763,-0.00674361,0.487235,-0.672478,4.18956
"./ResampledDatabase/Bird",m47.obj,0.296458,0.000455792,1108.93,0.000622415,1,0.232961,31.4533
"./ResampledDatabase/Bird",m48.obj,0.807913,0.0250661,7.42107,0.0141667,1.01062,0.677645,7.00443
"./ResampledDatabase/Bird",m49.obj,2.15415,0.142403,4.35847,0.03108,1.0529,3.11332,2.83993
"./ResampledDatabase/Bird",m50.obj,0.883556,0.0238777,10.6971,0.0131085,1.01061,1.70507,5.85339
"./ResampledDatabase/Bird",m51.obj,1.0662,0.0274753,14.1965,0.012943,1.02047,3.96803,4.71762
"./ResampledDatabase/Bird",m52.obj,1.95284,0.0452935,32.0981,0.00969324,1.01407,2.65477,2.47638
"./ResampledDatabase/Bookset",D01009.obj,25.4885,1.75126,47.7394,0.550076,1.3299,22.6505,2.54755
"./ResampledDatabase/Bookset",D01013.obj,35.9063,0.158763,16239,0.0559341,1.28865,3.55828,2.50402
"./ResampledDatabase/Bookset",D01030.obj,27.3207,1.19933,125.357,0.249996,1.39446,25.9401,1.98135
"./ResampledDatabase/Bookset",D01038.obj,7.88416,0.0663771,983.506,0.0951662,1.08003,5.61182,10.7851
"./ResampledDatabase/Bookset",D01042.obj,29.5526,1.23317,150.069,0.241454,1.44836,49.9624,1.70738
"./ResampledDatabase/Bookset",D01050.obj,27.4665,1.70538,62.9962,0.272105,1.5417,12.0472,1.7505
"./ResampledDatabase/Bookset",D01065.obj,33.6823,0.00856607,4.60457e+06,0.00361849,1.22417,0.315886,3.10662
"./ResampledDatabase/Bookset",D01078.obj,11.3282,0.00908882,155601,0.005172,1.1713,0.249593,4.69651
"./ResampledDatabase/Bookset",D01096.obj,44.0296,0.374833,5371.62,0.150049,1.26694,52.7166,3.4147
"./ResampledDatabase/Bookset",D01108.obj,38.5957,0.371759,3678.26,0.169871,1.24864,4.14315,4.7551
"./ResampledDatabase/Bookset",D01109.obj,27.4212,1.24872,116.918,0.251444,1.43409,23.9994,1.6138
"./ResampledDatabase/Bookset",D01110.obj,29.9689,1.36883,127.017,0.265481,1.51413,276.164,1.90257
"./ResampledDatabase/Bookset",D01122.obj,17.5396,0.193005,1280.76,0.0515724,1.35024,1.4268,2.76857
"./ResampledDatabase/Bookset",D01135.obj,25.1331,0.135449,7651.26,0.0834065,1.11341,3.77288,9.02687
"./ResampledDatabase/Bookset",D01146.obj,5.53965,0.0104756,13697.3,0.00657629,1.01077,1.10779,2.18472
"./ResampledDatabase/Bookset",D01182.obj,31.8113,0.613222,756.933,0.106717,1.49289,12.8819,2.65509
"./ResampledDatabase/Bookset",D01183.obj,22.5044,0.941035,113.798,0.210895,1.44962,24.001,2.29128
"./ResampledDatabase/Bookset",D01184.obj,29.5987,1.09349,191.751,0.330902,1.33815,15.495,2.71712
"./ResampledDatabase/Bookset",D01190.obj,16.8218,0.146823,1952.43,0.218593,1.06403,14.2226,9.61758
"./ResampledDatabase/Bookset",D01199.obj,19.3893,0.0969057,6863.39,0.0380753,1.22119,4.68345,2.90367
"./ResampledDatabase/Bottle",D00020.obj,0.681883,0.000191521,76426.8,0.000363465,1.00357,0.0440434,10.3779
"./ResampledDatabase/Bottle",D00123.obj,0.647649,0.00739413,43.9332,0.0157937,1.0065,0.844416,26.126
"./ResampledDatabase/Bottle",D00139.obj,1.28721,0.0212111,41.9147,0.0444987,1.0058,5.20201,24.2323
